s_m,posE_m,posN_m,posU_m
919.8278463884674,-958.1126423492244,33.93465488128794,4.270236276681488
920.327653298572,-958.420186399221,33.54106348906513,4.252645919430782
920.8274602871514,-958.7279792312056,33.14766851761331,4.235010873409023
921.3272727987462,-959.0360022516968,32.754447623440875,4.217356016277242
921.8270854152742,-959.3442888776043,32.361434308261494,4.1996771583149455
922.3269003554594,-959.652773424236,31.968574740673308,4.181967864814234
922.8267185057927,-959.9615364257696,31.57593214080871,4.164208893614224
923.3265369636838,-960.2703863426575,31.183360258236007,4.146389334126346
923.8263550902799,-960.5794125474123,30.790931061878254,4.128492678156584
924.3261737455282,-960.8885799350413,30.39861557750382,4.11052673034236
924.8259937481407,-961.1977808313786,30.006327089685847,4.092510542029417
925.3258125558193,-961.5069793513695,29.614042876478617,4.0743939249852135
925.8256275754691,-961.816156354274,29.22174943521241,4.056214522299942
926.3254459854221,-962.1253656322095,28.829480689969397,4.037958102276918
926.8252621742438,-962.4344857356776,28.43714836513709,4.019618769360807
927.3250783465547,-962.7435361966997,28.044764565194807,4.001207571994391
927.824890459125,-963.0524723179508,27.6522993919999,3.982722207855706
928.3247012927438,-963.3612324745559,27.259699370295227,3.964194983199938
928.8245081067427,-963.6697765323108,26.866935773416227,3.9456430908330185
929.3243125134405,-963.978146617908,26.47403806447919,3.927103253307091
929.8241152718621,-964.2862828341667,26.08095863937296,3.908571250887185
930.3239183896991,-964.5941511751414,25.68766764703823,3.8900662090488742
930.8237201956385,-964.9016761120142,25.29410723634588,3.871614608646855
931.3235245478534,-965.208899962335,24.90030716696894,3.8531917520364374
931.8233293044484,-965.5157353667083,24.50620159087426,3.8348171981889037
932.3231396151423,-965.8222575397679,24.11184295980242,3.8164930557005827
932.8229479703626,-966.1283567773328,23.717156763283736,3.798204945140841
933.3227557776169,-966.4340630960394,23.322164491749668,3.779967721570769
933.8225714058541,-966.7393374544871,22.92682698807653,3.7617609510180277
934.3223918710881,-967.0441764467173,22.531146466299738,3.7435782402923534
934.8222103179355,-967.3484983240951,22.135069676332368,3.725416434012671
935.3220354841399,-967.6523838595384,21.738646727191377,3.7073160607060824
935.8218622981467,-967.955685241466,21.341773284362688,3.689244367417397
936.321695379497,-968.2584953155275,20.94451302732786,3.6712594726543277
936.8215271653733,-968.5606724424363,20.546768741283387,3.6533630745683636
937.3213507571513,-968.8622483412444,20.148576986773065,3.6355045529046657
937.8211796036293,-969.1632850213178,19.749969186274374,3.6176828132746754
938.321010016249,-969.4636962383679,19.350884415444106,3.599937736732126
938.8208418500977,-969.7634479349933,18.95129965626713,3.5822515067168634
939.3206810255975,-970.0626040533814,18.55125752057082,3.564613256724164
939.820516343003,-970.3610096681025,18.150655345610783,3.547082396906147
940.3203564062215,-970.6587803306894,17.749570884396782,3.5296474815454744
940.8201869571122,-970.9557235867436,17.347881015258903,3.5123116423778065
941.3200204193566,-971.2519929473357,16.945686483158525,3.4950630394739957
941.8198501560345,-971.5474639217844,16.54290571971297,3.4779071214269286
942.3196802893366,-971.8421901500228,16.139575036620023,3.4608492018307464
942.8195083487578,-972.1361069130612,15.735651682105273,3.443909630780727
943.3193274131843,-972.4291943429223,15.331133681568916,3.4270560595373376
943.8191469154037,-972.7214339224078,14.925997316624253,3.410320206392415
944.3189585431553,-973.0127705502999,14.52021654345746,3.393689012441098
944.8187672469502,-973.303224070694,14.113804127766882,3.3771227439297484
945.3185766568665,-973.5927730398788,13.70674239170257,3.36064294668584
945.8183878908985,-973.8813317855058,13.298973164442138,3.3442302294773647
946.3182044887519,-974.1690117811577,12.890573960286227,3.3278918808354683
946.8180106447602,-974.4556966778479,12.481485544594403,3.3116243751783756
947.3178264578371,-974.7414196744314,12.071711853889308,3.295384343437387
947.8176357995003,-975.0260595243066,11.661191021912632,3.2791923580728315
948.3174579637588,-975.3096946479928,11.249957977659069,3.263046280858176
948.8172648048449,-975.5922077975699,10.837969636464647,3.2469588499773985
949.3170819403426,-975.8736701239786,10.425248489697045,3.230915696901968
949.8169030612469,-976.1539141405855,10.011692630607033,3.2149158384538197
950.3167140844083,-976.4329698460588,9.597345076940073,3.198944711796754
950.8165257585416,-976.7109082624718,9.18224336264416,3.1830540519500583
951.3163316974226,-976.9875842426916,8.766303923558029,3.1672186004927085
